# sol sunrise sunset
70 6.889887905146111 18.790502904809046
71 6.887184501774868 18.790502957820763
72 6.884481087639074 18.79050300006861
73 6.881777684396752 18.78915132501777
74 6.877722542069478 18.789151367265617
75 6.875019138891275 18.787799692279236
76 6.870963996564342 18.786448006335604
77 6.868260593192758 18.78644805934732
78 6.864205450865484 18.78509637340369
79 6.861502047623162 18.783744698352848
80 6.857446905166967 18.782393012279954
81 6.853391773732483 18.781041337229112
82 6.849336631405549 18.77968965128548
83 6.846633228033966 18.776986247913896
84 6.842578085706691 18.775634561970264
85 6.837171226145188 18.774282886983883
86 6.833116083818254 18.77293120103991
87 6.829060952254849 18.770227797668326
88 6.825005809927916 18.768876111724694
89 6.820950678493432 18.76617270848203
90 6.815543807974677 18.763469294346578
91 6.811488665647403 18.762117608402605
92 6.806081805892518 18.759414205031362
93 6.802026663565243 18.75671079089591
94 6.79661980400374 18.754007387717706
95 6.792564661612346 18.751303973517793
96 6.787157801921921 18.74860057021067
97 6.781750931531747 18.745897156204137
98 6.776344071776862 18.743193752832553
99 6.772288929449928 18.7404903386971
100 6.766882069823964 18.73778693545478
101 6.761475199175948 18.735083521190063
102 6.756068339549984 18.73238011794774
103 6.750661469031229 18.728324975620467
104 6.745254609340805 18.725621572313344
105 6.73849601075915 18.72156643011533
106 6.733089151004265 18.718863026743747
107 6.72768228048551 18.714807884416473
108 6.722275420859546 18.71210448117381
109 6.716868550340791 18.708049338846877
110 6.710109962394085 18.705345935475293
111 6.704703091875331 18.70129079314802
112 6.697944504122006 18.697235661778336
113 6.692537633538791 18.694532247578422
114 6.685779045656545 18.69047711607982
115 6.680372175137791 18.686421973752545
116 6.673613587191085 18.68236684218914
117 6.66820671667233 18.678311699862206
118 6.661448128854545 18.674256568427722
119 6.654689530143969 18.67020142610079
120 6.6492826705824655 18.666146294730765
121 6.642524071678508 18.66209115221045
122 6.635765483925525 18.658036020840427
123 6.629006885214949 18.653980878513153
124 6.623600025460064 18.64992574695009
125 6.616841426749488 18.645870604622814
126 6.610082838931703 18.64046374499719
127 6.603324240221127 18.636408602669917
128 6.596565652403342 18.632353471235774
129 6.589807053692766 18.62829832890816
130 6.583048465810862 18.622891469218075
131 6.5762898670361665 18.61883632682634
132 6.569531279282501 18.614781195456317
133 6.562772680443004 18.60937432480864
134 6.556014081861349 18.60531918261063
135 6.549255493915325 18.599912322855744
136 6.542496895204749 18.595857180528128
137 6.535738307386964 18.590450320902164
138 6.528979708676388 18.58639517857523
139 6.522221120729682 18.580988318820346
140 6.514110793827285 18.576933176493412
141 6.507352206074302 18.571526316931568
142 6.500593607363726 18.567471174604634
143 6.49383501941702 18.56206431484975
144 6.487076420706444 18.558009172522816
145 6.47896610469752 18.552602312896852
146 6.472207505986944 18.547195442377415
147 6.465448918040238 18.54314031081435
148 6.458690319329662 18.537733440295597
149 6.450580003384857 18.532326580734434
150 6.44382140460948 18.5282714383427
151 6.437062816727575 18.522864578651934
152 6.430304218017 18.51745770813318
153 6.422193902007393 18.513402576699036
154 6.415435303167897 18.50799570605136
155 6.4086767153507935 18.502588846425397
156 6.4005663884483965 18.497181975906642
157 6.393807800694731 18.49312684453662
158 6.387049201920036 18.487719973953062
159 6.380290614038131 18.48231311426298
160 6.3721802870709325 18.476906243679423
161 6.365421699317949 18.4728511123094
162 6.358663100478452 18.467444241661724
163 6.350552784468846 18.46203738203576
164 6.34379418575827 18.456630511517005
165 6.337035597941167 18.45122365189104
166 6.32892527103877 18.447168509564108
167 6.322166683285786 18.441761650002263
168 6.315408084381488 18.43635477929047
169 6.3086494966285045 18.430947919728624
170 6.3005391697261075 18.42689277740169
171 6.2937805817794015 18.421485917646805
172 6.287021983068826 18.41607904712805
173 6.2789116670599014 18.410672187502087
174 6.272153068349326 18.40526531698265
175 6.265394480466739 18.401210185484388
176 6.258635881820965 18.395803315029752
177 6.250525565618318 18.390396455210748
178 6.243766967036663 18.384989584820232
179 6.237008368261286 18.38093444242918
180 6.230249780379381 18.375527582738414
181 6.223491181668805 18.37012071221966
182 6.215380865659199 18.364713852593695
183 6.208622266819702 18.36065871013784
184 6.201863679002599 18.355251850511877
185 6.195105080292024 18.34984497999244
186 6.188346492538358 18.344438120431278
187 6.181587893763663 18.340382978039543
188 6.174829305881758 18.33497611834946
189 6.168070707171182 18.329569247830023
190 6.161312119353397 18.32551411639588
191 6.153201792451 18.320107245877125
192 6.146443204504294 18.31470038612224
193 6.139684605793718 18.310645243795307
194 6.132926017975933 18.305238384169343
195 6.126167419265357 18.299831513650588
196 6.120760559575274 18.295776382151644
197 6.114001960993619 18.29036951176181
198 6.107243373046913 18.286314380198746
199 6.100484774336337 18.28090750967931
200 6.093726186518552 18.275500650053345
201 6.086967587679055 18.27144550759749
202 6.080208999861952 18.266038647971527
203 6.073450401151376 18.261983505644594
204 6.068043541589532 18.25657664608275
205 6.061284942878956 18.252521503755816
206 6.05452635493225 18.24711464400093
207 6.047767756221674 18.243059501673997
208 6.042360896466789 18.237652641919112
209 6.035602297756213 18.233597499591497
210 6.02884370993911 18.229542368157354
211 6.023436839419674 18.2241354976386
212 6.01667825147365 18.220080366075535
213 6.009919652763074 18.21467349555678
214 6.004512793201229 18.210618364186757
215 5.997754194490653 18.206563221859142
216 5.9923473347357685 18.20115636210494
217 5.985588736025193 18.197101219777323
218 5.980181876399229 18.19304608834318
219 5.973423277688653 18.188990946016247
220 5.96801641812749 18.183584086454402
221 5.962609547415013 18.179528943933747
222 5.95585095966203 18.175473812564405
223 5.9504440890784736 18.17141867017267
