2691 Event(s) in Catalog:
2022-02-05T04:53:47.708000Z |  +4.502, +135.623 | automatic
2022-02-05T04:34:04.201673Z |  +4.502, +135.623 | 1.5  MW | manual
2022-02-05T03:06:20.193076Z |  +4.502, +135.623 | manual
2022-02-05T00:56:41.186063Z |  +4.502, +135.623 | manual
2022-02-04T08:21:24.879000Z |  +4.502, +135.623 | automatic
2022-02-04T04:49:38.829000Z |  +4.502, +135.623 | automatic
2022-02-04T03:37:26.526018Z |  +4.502, +135.623 | 1.8  MW | manual
2022-02-04T02:53:45.608804Z |  +4.502, +135.623 | 1.7  MW | manual
2022-02-04T01:42:36.429000Z |  +4.502, +135.623 | automatic
2022-02-04T01:14:24.029000Z |  +4.502, +135.623 | automatic
2022-02-03T09:54:15.923680Z |  +4.502, +135.623 | manual
2022-02-03T08:04:38.145711Z |  +3.891, +165.887 | 4.2  MbS | manual
2022-02-03T05:54:11.154068Z |  +4.502, +135.623 | 1.9  MW | manual
2022-02-03T05:25:27.129000Z |  +4.502, +135.623 | automatic
2022-02-03T04:50:55.708284Z |  +4.502, +135.623 | manual
2022-02-03T03:12:56.729000Z |  +4.502, +135.623 | automatic
2022-02-03T01:55:45.729000Z |  +4.502, +135.623 | automatic
2022-02-02T03:28:08.279000Z |  +4.502, +135.623 | automatic
2022-02-02T00:09:41.879000Z |  +4.502, +135.623 | automatic
2022-02-01T08:32:26.427681Z |  +4.502, +135.623 | 2.2  MW | manual
2022-02-01T03:48:26.839230Z |  +4.502, +135.623 | manual
2022-02-01T02:57:44.929000Z |  +4.502, +135.623 | automatic
2022-02-01T02:20:07.229000Z |  +4.502, +135.623 | automatic
2022-02-01T01:00:13.490547Z |  +4.502, +135.623 | manual
2022-02-01T00:08:17.434493Z |  +4.502, +135.623 | manual
2022-01-31T01:40:34.879000Z |  +4.502, +135.623 | automatic
2022-01-31T00:52:17.047177Z |  +4.502, +135.623 | manual
2022-01-30T22:38:46.679000Z |  +4.502, +135.623 | automatic
2022-01-30T21:55:28.079000Z |  +4.502, +135.623 | automatic
2022-01-30T05:10:38.578688Z |  +4.502, +135.623 | 1.8  MW | manual
2022-01-30T03:19:43.070000Z |  +4.502, +135.623 | automatic
2022-01-30T01:44:09.120000Z |  +4.502, +135.623 | automatic
2022-01-06T14:53:18.310024Z |  +4.502, +135.623 | 2.2  MW | manual
2022-01-06T10:11:34.799000Z |  +4.502, +135.623 | automatic
2022-01-06T08:53:21.499000Z |  +4.502, +135.623 | automatic
2022-01-05T10:14:26.598864Z |  +4.502, +135.623 | 1.8  MW | manual
2022-01-05T09:05:02.235771Z |  +4.502, +135.623 | 1.8  MW | manual
2022-01-05T08:34:00.749000Z |  +4.502, +135.623 | automatic
2022-01-05T08:23:53.190830Z |  +4.502, +135.623 | 1.9  MW | manual
2022-01-05T07:59:04.008824Z |  +4.502, +135.623 | 1.9  MW | manual
2022-01-04T10:20:48.451681Z |  +4.502, +135.623 | 1.9  MW | manual
2022-01-04T10:04:41.418305Z |  +4.502, +135.623 | manual
2022-01-04T08:30:27.076000Z |  +4.502, +135.623 | automatic
2022-01-04T08:12:08.176000Z |  +4.502, +135.623 | automatic
2022-01-04T08:07:12.876000Z |  +4.502, +135.623 | automatic
2022-01-04T07:06:59.326000Z |  +4.502, +135.623 | automatic
2022-01-04T06:55:49.995725Z |  +4.502, +135.623 | manual
2022-01-03T12:04:57.990541Z |  +4.502, +135.623 | manual
2022-01-03T11:29:00.240378Z |  +4.502, +135.623 | manual
2022-01-03T09:01:08.376000Z |  +4.502, +135.623 | automatic
2022-01-03T07:55:08.826000Z |  +4.502, +135.623 | automatic
2022-01-03T07:19:20.626000Z |  +4.502, +135.623 | automatic
2022-01-03T07:11:31.526000Z |  +4.502, +135.623 | automatic
2022-01-02T08:58:38.276000Z |  +4.502, +135.623 | automatic
2022-01-02T08:01:42.926000Z |  +4.502, +135.623 | automatic
2022-01-02T07:41:13.320193Z |  +4.502, +135.623 | manual
2022-01-02T07:33:02.826000Z |  +4.502, +135.623 | automatic
2022-01-02T06:59:35.426000Z |  +4.502, +135.623 | automatic
2022-01-02T06:45:04.776000Z |  +4.502, +135.623 | automatic
2022-01-02T04:27:10.093677Z | +25.221,  +61.965 | manual
2022-01-01T08:48:59.726000Z |  +4.502, +135.623 | automatic
2022-01-01T06:18:36.226000Z |  +4.502, +135.623 | automatic
2022-01-01T06:09:48.711271Z |  +4.502, +135.623 | 1.9  MW | manual
2022-01-01T03:29:58.326000Z |  +4.502, +135.623 | automatic
2021-12-31T06:50:44.841650Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-31T05:50:42.276000Z |  +4.502, +135.623 | automatic
2021-12-31T05:33:06.626000Z |  +4.502, +135.623 | automatic
2021-12-31T05:07:08.926000Z |  +4.502, +135.623 | automatic
2021-12-31T05:00:20.691650Z |  +4.502, +135.623 | manual
2021-12-30T05:46:54.008000Z |  +4.502, +135.623 | automatic
2021-12-30T05:12:49.758000Z |  +4.502, +135.623 | automatic
2021-12-30T04:40:57.108000Z |  +4.502, +135.623 | automatic
2021-12-29T10:27:45.873548Z |  +4.502, +135.623 | manual
2021-12-29T08:34:04.028786Z |  +4.502, +135.623 | 2.1  MW | manual
2021-12-29T06:56:31.309255Z |  +4.502, +135.623 | 2.2  MW | manual
2021-12-29T05:32:58.758000Z |  +4.502, +135.623 | automatic
2021-12-29T04:39:34.658000Z |  +4.502, +135.623 | automatic
2021-12-29T03:47:44.808000Z |  +4.502, +135.623 | automatic
2021-12-28T07:29:22.813278Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-28T05:03:38.308000Z |  +4.502, +135.623 | automatic
2021-12-28T04:03:35.558000Z |  +4.502, +135.623 | automatic
2021-12-28T03:52:11.345194Z |  +4.502, +135.623 | manual
2021-12-28T03:45:15.258000Z |  +4.502, +135.623 | automatic
2021-12-28T03:18:34.758000Z |  +4.502, +135.623 | automatic
2021-12-28T03:13:45.658000Z |  +4.502, +135.623 | automatic
2021-12-28T02:30:32.254434Z |  +4.502, +135.623 | manual
2021-12-27T10:50:00.045207Z |  +4.502, +135.623 | manual
2021-12-27T10:34:01.542553Z |  +4.502, +135.623 | manual
2021-12-27T05:30:15.841146Z |  +4.502, +135.623 | manual
2021-12-27T04:50:34.603614Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-27T04:48:58.008000Z |  +4.502, +135.623 | automatic
2021-12-27T03:26:33.708000Z |  +4.502, +135.623 | automatic
2021-12-26T22:30:03.808000Z |  +4.502, +135.623 | automatic
2021-12-26T09:25:03.297007Z |  +4.502, +135.623 | manual
2021-12-26T04:26:36.156103Z |  +4.502, +135.623 | 1.6  MW | manual
2021-12-26T03:45:02.332472Z |  +4.502, +135.623 | manual
2021-12-26T02:44:44.058000Z |  +4.502, +135.623 | automatic
2021-12-26T02:05:35.672756Z |  +4.502, +135.623 | 1.8  MW | manual
2021-12-25T03:31:41.685086Z |  +4.502, +135.623 | 2.1  MW | manual
2021-12-25T02:31:14.492888Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-24T22:38:02.749173Z | +44.323, -173.536 | 4.5  MbS | manual
2021-12-24T08:47:55.636000Z |  +4.502, +135.623 | automatic
2021-12-24T08:44:54.540045Z |  +4.502, +135.623 | 1.8  MW | manual
2021-12-24T06:05:25.224805Z |  +4.502, +135.623 | manual
2021-12-24T05:55:30.755493Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-24T02:09:01.036000Z |  +4.502, +135.623 | automatic
2021-12-24T01:40:59.036000Z |  +4.502, +135.623 | automatic
2021-12-24T01:29:14.536000Z |  +4.502, +135.623 | automatic
2021-12-24T00:50:28.015420Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-24T00:31:59.789060Z |  +4.502, +135.623 | 1.6  MW | manual
2021-12-23T02:11:36.086000Z |  +4.502, +135.623 | automatic
2021-12-23T01:10:38.436000Z |  +4.502, +135.623 | automatic
2021-12-23T00:56:53.756756Z |  +4.502, +135.623 | manual
2021-12-23T00:52:05.836000Z |  +4.502, +135.623 | automatic
2021-12-22T05:17:47.415918Z |  +4.502, +135.623 | manual
2021-12-22T04:30:28.744050Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-22T01:49:10.936000Z |  +4.502, +135.623 | automatic
2021-12-22T01:34:28.686000Z |  +4.502, +135.623 | automatic
2021-12-22T00:28:05.386000Z |  +4.502, +135.623 | automatic
2021-12-21T23:57:27.099737Z |  +4.502, +135.623 | 1.8  MW | manual
2021-12-21T23:51:08.736000Z |  +4.502, +135.623 | automatic
2021-12-21T22:34:04.636000Z |  +4.502, +135.623 | automatic
2021-12-21T03:49:57.278964Z |  +4.502, +135.623 | manual
2021-12-21T02:58:59.560608Z |  +4.502, +135.623 | manual
2021-12-21T02:27:12.182262Z |  +4.502, +135.623 | manual
2021-12-21T01:23:32.536000Z |  +4.502, +135.623 | automatic
2021-12-21T01:06:56.576671Z |  +4.502, +135.623 | manual
2021-12-20T23:53:17.241321Z |  +4.502, +135.623 | manual
2021-12-20T23:41:09.186000Z |  +4.502, +135.623 | automatic
2021-12-20T23:36:03.936000Z |  +4.502, +135.623 | automatic
2021-12-20T23:28:54.836000Z |  +4.502, +135.623 | automatic
2021-12-20T22:17:13.778510Z |  +4.502, +135.623 | 1.8  MW | manual
2021-12-20T21:56:03.300855Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-20T01:15:10.231000Z |  +4.502, +135.623 | automatic
2021-12-20T00:12:32.181000Z |  +4.502, +135.623 | automatic
2021-12-19T23:48:27.231000Z |  +4.502, +135.623 | automatic
2021-12-19T23:00:11.481000Z |  +4.502, +135.623 | automatic
2021-12-19T22:55:46.231000Z |  +4.502, +135.623 | automatic
2021-12-19T22:36:20.566219Z |  +4.502, +135.623 | manual
2021-12-19T22:12:23.081000Z |  +4.502, +135.623 | automatic
2021-12-19T00:37:23.514230Z |  +4.502, +135.623 | manual
2021-12-19T00:20:35.719541Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-18T22:45:21.489395Z |  +4.502, +135.623 | manual
2021-12-18T22:33:51.681000Z |  +4.502, +135.623 | automatic
2021-12-18T21:59:08.131000Z |  +4.502, +135.623 | automatic
2021-12-18T05:15:46.820954Z |  +4.502, +135.623 | manual
2021-12-18T01:18:51.129456Z |  +4.502, +135.623 | manual
2021-12-18T00:42:23.809954Z |  +4.502, +135.623 | 2.3  MW | manual
2021-12-17T22:43:56.931000Z |  +4.502, +135.623 | automatic
2021-12-17T21:59:23.931000Z |  +4.502, +135.623 | automatic
2021-12-17T21:13:50.945652Z |  +4.502, +135.623 | manual
2021-12-17T20:43:16.923938Z |  +4.502, +135.623 | manual
2021-12-17T19:40:38.062186Z |  +4.502, +135.623 | manual
2021-12-17T02:11:37.337667Z |  +4.502, +135.623 | manual
2021-12-16T23:02:32.671075Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-16T22:52:56.681000Z |  +4.502, +135.623 | automatic
2021-12-16T21:51:21.614788Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-16T21:36:00.431000Z |  +4.502, +135.623 | automatic
2021-12-16T21:13:05.031000Z |  +4.502, +135.623 | automatic
2021-12-16T20:43:22.581000Z |  +4.502, +135.623 | automatic
2021-12-16T20:38:43.181000Z |  +4.502, +135.623 | automatic
